,jp,en
1625,湯,"湯
ゆ

hot water
hot bath
hot spring
molten iron
"
1626,塾,"塾
じゅく

coaching school
cramming school
juku
"
1627,特急,"特急
とっきゅう

limited express (train, faster than an express)
great hurry
"
1628,行う,"行う
おこなう

to perform
to do
to conduct oneself
to carry out
"
1629,貿易,"貿易
ぼうえき

trade (foreign)
"
1630,適当,"適当
てきとう

suitable
proper
appropriate
adequate
fit
noncommittal
vague
equivocal
unserious
irresponsible
"
1631,残念,"残念
ざんねん

deplorable
bad luck
regret
disappointment
"
1632,払う,"払う
はらう

to pay (e.g. money, bill)
to brush off
to wipe away
to clear away
to dust off
to cut off (e.g. branches)
to drive away (e.g. one's competitors)
to sell off (something unneeded)
to dispose of
to pay (e.g. attention)
to show (e.g. respect, concern)
to make (e.g. effort, sacrifice)
to expend
to exert
to move out (of one's own place)
to vacate
to sweep (e.g. one's legs)
to knock aside
to make a sweeping stroke (in Japanese calligraphy)
to reset (an abacus)
"
1633,下りる,"下りる
おりる

to descend (e.g. a mountain)
to go down
to come down
to alight (e.g. from bus)
to get off
to disembark
to dismount
to step down
to retire
to give up
to quit
to be granted
to be issued
to be given
to form (of frost, dew, mist, etc.)
to be passed (from the body
e.g. of a roundworm)
"
1634,盛ん,"盛ん
さかん

popular
prosperous
enthusiastic
energetic
vigorous
"
1635,おっしゃる,"おっしゃる
おっしゃる

to say
to speak
to tell
to talk
"
1636,飜訳,"飜訳
ほんやく

translation
de-encryption
deciphering
rendering
"
1637,翻訳,"翻訳
ほんやく

translation
de-encryption
deciphering
rendering
"
1638,具合,"具合
ぐあい

condition
state
manner
health
"
1639,踊り,"踊り
おどり

dance
"
1640,申す,"申す
もうす

to say
to be called
to do
"
1641,この間,"この間
このあいだ
このかん

the other day
lately
recently
during this period
meanwhile
in the meantime
"
1642,下る,"下る
さがる

to come down
to go down
to fall
to drop
to sink
to get lower
to hang
to dangle
to move back
to step back
to withdraw
to retire
to deteriorate
to fall off
to be downgraded
to get closer to the present day
to go south
"
1643,空く,"空く
あく

to open (e.g. doors)
to open (e.g. business, etc.)
to be empty
to be vacant
to be available
to be free
to be open (e.g. neckline, etc.)
to have been opened (of one's eyes, mouth, etc.)
to come to an end
to open (one's eyes, mouth, etc.)
to have a hole
to form a gap
to have an interval (between events)
"
1644,値段,"値段
ねだん

price
cost
"
1645,凄い,"凄い
すごい

terrible
dreadful
amazing (e.g. of strength)
great (e.g. of skills)
wonderful
terrific
to a great extent
vast (in numbers)
"
1646,極る,"極る
きまる

to be decided
to be settled
to look good in (clothes)
"
1647,崩れる,"崩れる
くずれる

to collapse
to crumble
to get out of shape
to lose one's shape
to become disorganized
to become untidy
to break down
to be thrown into disarray
to crash (stock market)
to slump
to decline
to break money into small change
to turn bad (e.g. weather)
to change for the worse
to deteriorate
"
1648,長年,"長年
ながねん

long time
many years
"
1649,出張,"出張
しゅっちょう

official tour
business trip
"
1650,面積,"面積
めんせき

square measure
size (e.g. of land)
area
surface
"
1651,基礎,"基礎
きそ

foundation
basis
"
1652,学会,"学会
がっかい

scientific society
academic meeting
academic conference
"
1653,登録,"登録
とうろく

registration
accession
register
entry
record
"
1654,上り,"上り
のぼり

ascent
climbing
ascending (path)
climb
up-train (e.g. going to Tokyo)
northward (towards Tokyo)
"
1655,面接,"面接
めんせつ

interview (e.g. for a job)
"
1656,高まる,"高まる
たかまる

to rise
to swell
to be promoted
"
1657,殴る,"殴る
なぐる

to strike
to hit
to beat
to punch
"
1658,発生,"発生
はっせい

outbreak
spring forth
occurrence
incidence
generation (e.g. of power or heat)
genesis
origin
ontogeny
development of complex multicellular structures from cell(s) in a simple state
"
1659,発言,"発言
はつげん

statement
remark
observation
utterance
speech
proposal
"
1660,営業,"営業
えいぎょう

business
trade
sales
operations
"
1661,一部,"一部
いちぶ

one part
one portion
one section
some
one copy (e.g. of a document)
"
1662,計算,"計算
けいさん

calculation
reckoning
count
forecast
"
1663,合わせる,"合わせる
あわせる

to match (rhythm, speed, etc.)
to join together
to unite
to combine
to add up
to face
to be opposite (someone)
to compare
to check with
to cause to meet (e.g. an unpleasant fate)
to place together
to connect
to overlap
to mix
to combine
to put blade to blade
to fight
"
1664,提案,"提案
ていあん

proposal
proposition
suggestion
"
1665,手段,"手段
しゅだん

means
way
measure
"
1666,定員,"定員
ていいん

fixed number of regular personnel
staff quota
complement
capacity (of boat, hall, aeroplane, airplane, etc.)
"
1667,適用,"適用
てきよう

applying (e.g. a technology)
adoption
"
1668,困難,"困難
こんなん

difficulty
distress
"
1669,購入,"購入
こうにゅう

purchase
buy
"
1670,サークル,"サークル
サークル

group with a common interest (e.g. students)
club (e.g. company sports club)
circle
circle (shape)
"
1671,満足,"満足
まんぞく

satisfaction
contentment
complacency
sufficient
enough
adequate
proper
"
1672,通常,"通常
つうじょう

common
general
normal
usual
"
1673,検討,"検討
けんとう

consideration
examination
investigation
study
scrutiny
discussion
analysis
review
"
1674,検査,"検査
けんさ

inspection (e.g. customs, factory)
examination
scan (e.g. MRI, PET, etc.)
"
1675,雰囲気,"雰囲気
ふんいき
ふいんき

mood
ambience
ambiance
aura
feel
a certain air
presence
special aura
something (about someone)
air
atmosphere
"
1676,望む,"望む
のぞむ

to desire
to wish for
to expect
to see
to command (a view of)
"
1677,共同,"共同
きょうどう

doing together (as equals)
sharing
common (land, etc.)
joint (statement, etc.)
cooperation
co-operation
collaboration
association
"
1678,四つ角,"四つ角
よつかど

four corners
crossroads
"
1679,必死,"必死
ひっし

frantic
desperate
inevitable death
brinkmate (inevitable checkmate)
"
1680,鞄,"鞄
かばん

bag
satchel
briefcase
basket
"
1681,面倒,"面倒
めんどう

trouble
difficulty
care
attention
"
1682,承認,"承認
しょうにん

recognition
acknowledgement
acknowledgment
approval
consent
agreement
"
1683,頑張る,"頑張る
がんばる

to persevere
to persist
to keep at it
to hang on
to hold out
to do one's best
to insist that
to stick to (one's opinion)
to remain in a place
to stick to one's post
to refuse to budge
"
1684,登場,"登場
とうじょう

entry (on stage)
appearance (on screen)
entrance
introduction (into a market)
"
1685,格好,"格好
かっこう
かっこ

shape
form
figure
posture
pose
appearance
state
situation
suitable
fit
reasonable
about
"
1686,評価,"評価
ひょうか

valuation
estimation
assessment
evaluation
rating
to value
to assess
to rate
to estimate value
to appreciate
to value highly
to acknowledge the value (of something)
"
1687,制限,"制限
せいげん

restriction
restraint
limitation
limit
"
1688,展開,"展開
てんかい

development
evolution
progressing
unfolding
expansion
spreading out
extending
deployment
building up
expansion
"
1689,単純,"単純
たんじゅん

simplicity
simple
uncomplicated
"
1690,始まり,"始まり
はじまり

origin
beginning
"
1691,留学,"留学
りゅうがく

studying abroad (usu. at university level)
"
1692,急速,"急速
きゅうそく

rapid (e.g. progress)
"
1693,回,"回
かい

counter for occurrences
a time
an instance
inning (baseball)
round
game
episode
chapter
instalment
Hui (people)
Islam
"
1694,一番,"一番
いちばん

number one
first
first place
best
most
game
round
bout
as a test
as an experiment
by way of experiment
by way of trial
tentatively
song (e.g. in noh)
piece
"
1695,限界,"限界
げんかい

limit
bound
"
1696,気温,"気温
きおん

atmospheric temperature
"
1697,日中,"日中
にっちゅう
ひなか

daytime
during the day
Sino-Japanese
"
1698,伝わる,"伝わる
つたわる

to be handed down
to be introduced
to be transmitted
to be circulated
to go along
to walk along
"
1699,事態,"事態
じたい

situation
(present) state of affairs
circumstances
"
1700,現金,"現金
げんきん

cash
ready money
money on hand
currency
mercenary
self-interested
calculating
"
1701,社員,"社員
しゃいん

company employee
company stockholders (esp. in legal contexts)
members of a corporation
"
1702,詩人,"詩人
しじん

poet
"
1703,流行,"流行
はやり
りゅうこう

fashion
fad
vogue
craze
prevalence (e.g. of a disease)
"
1704,同僚,"同僚
どうりょう

coworker
co-worker
colleague
associate
"
1705,間違いない,"間違いない
まちがいない

certain
sure
doubtless
I have no doubt
You can depend on it
It's a safe bet
"
1706,化粧,"化粧
けしょう
けわい
けそう

make-up
makeup
cosmetics
"
1707,温度,"温度
おんど

temperature
"
1708,後ろ向き,"後ろ向き
うしろむき

back facing
turning one's back to
pessimistic
backwards
reactionary
backward-looking
"
1709,一切,"一切
いっさい

all
everything
the whole
lock, stock, and barrel
absolutely not (with negative)
without exception
entirely not
"
1710,労働,"労働
ろうどう

manual labor
manual labour
toil
work
Labour Party
"
1711,同一,"同一
どういつ

identical
same
one and the same
equal
fair
equal treatment
without discrimination
"
1712,に対する,"に対する
にたいする

regarding
in
to
towards
with regards to
"
1713,作者,"作者
さくしゃ

author
authoress
writer
composer
artist
"
1714,事業,"事業
じぎょう
ことわざ

project
enterprise
business
industry
operations
venture
service
act
deed
conduct
"
1715,論文,"論文
ろんぶん

thesis
essay
treatise
paper
article
"
1716,基づく,"基づく
もとづく

to be grounded on
to be based on
to be due to
to originate from
"
1717,構造,"構造
こうぞう

structure
construction
"
1718,差別,"差別
さべつ
しゃべつ
しゃべち

discrimination
distinction
differentiation
"
1719,出席,"出席
しゅっせき

attendance
presence
appearance
to attend
to be present
to appear
"
1720,すき焼き,"すき焼き
すきやき

sukiyaki
thin slices of beef, cooked with various vegetables in a table-top cast-iron pan
"
1721,国立,"国立
こくりつ

national
"
1722,言語,"言語
げんご
ごんご
げんきょ

language
"
1723,焼きそば,"焼きそば
やきそば

yakisoba
fried noodles, usu. with with vegetables and meat
"
1724,よろしくお願いします,"よろしくお願いします
よろしくおねがいします

please remember me
please help me
please treat me well
I look forward to working with you
"
1725,増やす,"増やす
ふやす

to increase
to add to
to augment
"
1726,大使,"大使
たいし

ambassador
"
1727,釣り,"釣り
つり

fishing
angling
change (e.g. for a purchase)
trolling
writing false posts online
"
1728,容易,"容易
ようい

easy
simple
plain
"
1729,当たる,"当たる
あたる

to be hit
to strike
to touch
to be in contact
to be affixed
to be equivalent to
to be applicable
to apply to
to be right on the money (of a prediction, criticism, etc.)
to be selected (in a lottery, etc.)
to win
to be successful
to go well
to be a hit
to face
to confront
to lie (in the direction of)
to undertake
to be assigned
to be stricken (by food poisoning, heat, etc.)
to be afflicted
to be called upon (by the teacher)
to treat (esp. harshly)
to lash out at
to be unnecessary
to be hitting well
to be on a hitting streak
(in fishing) to feel a bite
(of fruit, etc.) to be bruised
to spoil
to feel (something) out
to probe into
to check (i.e. by comparison)
to shave
to be a relative of a person
to stand in a relationship
"
1730,親子丼,"親子丼
おやこどん
おやこどんぶり

oyakodon
chicken and egg on rice
sexual relationship with both a mother and daughter
"
1731,強化,"強化
きょうか

strengthen
intensify
reinforce
solidify
enhancement
"
1732,タコ焼き,"タコ焼き
タコやき
タコヤキ

octopus dumplings
"
1733,別れ,"別れ
わかれ

parting
separation
farewell
(lateral) branch
fork
offshoot
division
section
"
1734,贈る,"贈る
おくる

to give (as a gift)
to present
to confer
to bestow
to award
"
1735,休日,"休日
きゅうじつ

holiday
day off
"
1736,連続,"連続
れんぞく

serial
consecutive
continuity
occurring in succession
continuing
"
1737,実施,"実施
じっし

enforcement
implementation
putting into practice
carrying out
operation
working (e.g. working parameters)
enactment
"
1738,貯金,"貯金
ちょきん

putting money aside
savings
deposit (e.g. in a bank)
accumulated surplus of wins
wins in the bank
"
1739,輸入,"輸入
ゆにゅう
しゅにゅう

importation
import
introduction
afferent
"
1740,動かす,"動かす
うごかす

to move
to shift
to stir
to budge
to change position
to inspire
to rouse
to move (e.g. feeling)
to influence
to change
to alter
to deny
to operate
to set in motion
to get going
to mobilize (e.g. troops)
to mobilise
to deploy
to manage (e.g. funds)
"
1741,発電,"発電
はつでん

generation (e.g. power)
sending a telegram
telegraphing
"
1742,斜め,"斜め
ななめ
なのめ

slanting
tilted
sloping
diagonal
oblique
unusual
slanted (view of the world)
bad (mood)
"
1743,費用,"費用
ひよう

cost
expense
"
1744,設計,"設計
せっけい

plan
design
layout
"
1745,優秀,"優秀
ゆうしゅう

superiority
excellence
"
1746,価格,"価格
かかく

price
value
cost
"
1747,疑問,"疑問
ぎもん

question
problem
doubt
guess
"
1748,世代,"世代
せだい

generation
the world
the age
"
1749,世間,"世間
せけん

world
society
"
1750,場面,"場面
ばめん

scene
setting (e.g. of novel)
situation
"
1751,首都,"首都
しゅと

capital city
metropolis
"
1752,資料,"資料
しりょう

materials
data
document
"
1753,世話,"世話
せわ

looking after
help
aid
assistance
"
1754,掛ける,"掛ける
かける

to hang (e.g. picture)
to hoist (e.g. sail)
to raise (e.g. flag)
to sit
to take (time, money)
to expend (money, time, etc.)
to make (a call)
to multiply
to secure (e.g. lock)
to put on (glasses, etc.)
to cover
to burden someone
to apply (insurance, etc.)
to turn on (an engine, etc.)
to set (a dial, an alarm clock, etc.)
to put an effect (spell, anaesthetic, etc.) on
to hold an emotion for (pity, hope, etc.)
to bind
to pour (or sprinkle, spray, etc.) onto
to argue (in court)
to deliberate (in a meeting)
to present (e.g. idea to a conference, etc.)
to increase further
to catch (in a trap, etc.)
to set atop
to erect (a makeshift building)
to hold (a play, festival, etc.)
to wager
to bet
to risk
to stake
to gamble
to be partway doing ...
to begin (but not complete) ...
to be about to ...
indicates (verb) is being directed to (someone)
"
1755,消費,"消費
しょうひ

consumption
expenditure
"
1756,一家,"一家
いっか
いっけ

a house
a home
a family
a household
one's family
one's folks
a style
"
1757,思想,"思想
しそう

thought
idea
ideology
"
1758,自動,"自動
じどう

automatic
self-motion
intransitive verb
"
1759,一時,"一時
いちじ

one o'clock
once
at one time
formerly
before
for a time
for a while
for the time being
for the present
for the moment
temporarily
a time
one time
once
"
1760,監督,"監督
かんとく

supervision
control
superintendence
direction
director
superintendent
supervisor
coach
foreman
manager
overseer
controller
boss
"
1761,暮らし,"暮らし
くらし

life
living
livelihood
life circumstances
"
1762,重ねる,"重ねる
かさねる

to pile up
to put something on top of another
to stack up
to repeat many times over
to go through something repeatedly
"
1763,西口,"西口
にしぐち

west entrance
"
1764,体育,"体育
たいいく

physical education
gymnastics
athletics
"
1765,水色,"水色
みずいろ

light blue
"
1766,老人,"老人
ろうじん

the aged
old person
"
1767,相手方,"相手方
あいてかた
あいてがた

other (opposite) party
"
1768,言うまでもない,"言うまでもない
いうまでもない
ゆうまでもない

it goes without saying
there is no need to say so, but of course
it is needless to say
it need scarcely be said
"
1769,親友,"親友
しんゆう

close friend
bosom (old, intimate) friend
buddy
crony
chum
"
1770,人工,"人工
じんこう

artificial
man-made
human work
human skill
artificiality
"
1771,気をつける,"気をつける
きをつける

to be careful
to pay attention
to take care
"
1772,肉じゃが,"肉じゃが
にくじゃが

meat and potato stew
"
1773,汚染,"汚染
おせん

pollution
contamination
"
1774,恐らく,"恐らく
おそらく

perhaps
likely
probably
I dare say
"
1775,家賃,"家賃
やちん

rent
"
1776,苦労,"苦労
くろう

troubles
hardships
"
1777,交換,"交換
こうかん

exchange
interchange
switching
reciprocity
barter
substitution
replacement
clearing (of checks, cheques)
"
1778,選択,"選択
せんたく

selection
choice
option
"
1779,終了,"終了
しゅうりょう

end
close
termination
"
1780,事務,"事務
じむ

business
office work
administration
"
1781,長期,"長期
ちょうき

long-term
"
1782,芸術,"芸術
げいじゅつ

(fine) art
the arts
"
1783,生活費,"生活費
せいかつひ

living expenses
"
1784,観察,"観察
かんさつ

observation
survey
"
1785,比較,"比較
ひかく

comparison
"
1786,話題,"話題
わだい

topic
subject
"
1787,議員,"議員
ぎいん

member of the Diet, congress or parliament
"
1788,是非,"是非
ぜひ

certainly
without fail
right and wrong
pros and cons
"
1789,明確,"明確
めいかく

clear
precise
definite
distinct
"
1790,生かす,"生かす
いかす

to make (the best) use of
to leverage (skills, attributes, experience, etc.)
to capitalise on (experience, etc)
to let live
to keep alive
to revive
to resuscitate
"
1791,条件,"条件
じょうけん

condition
conditions
term
terms
requirement
requirements
"
1792,正式,"正式
せいしき

due form
official
formality
"
1793,記念,"記念
きねん

commemoration
celebration
honoring the memory of something
turning something into a memento
memory
"
1794,通行,"通行
つうこう

passage
passing
common usage
"
1795,医療,"医療
いりょう

medical care
medical treatment
"
1796,古代,"古代
こだい

ancient times
"
1797,気候,"気候
きこう

climate
"
1798,主要,"主要
しゅよう

chief
main
principal
major
"
1799,先日,"先日
せんじつ

the other day
a few days ago
"
1800,豊か,"豊か
ゆたか

abundant
wealthy
plentiful
rich
affluent
very
extremely
full of
great
"
1801,結局,"結局
けっきょく

after all
eventually
in the end
conclusion
end
ending of a game of Go
"
1802,現状,"現状
げんじょう

present condition
existing state
status quo
current state
"
1803,印象,"印象
いんしょう

impression
"
1804,許可,"許可
きょか

permission
approval
authorization
license
to permit
to authorize
"
1805,野球,"野球
やきゅう

baseball
"
1806,前半,"前半
ぜんはん
ぜんぱん

first half
"
1807,投資,"投資
とうし

investment
"
1808,列車,"列車
れっしゃ

train (ordinary)
"
1809,単位,"単位
たんい

unit
denomination
credit (in school)
"
1810,地元,"地元
じもと

home area
home town
local
"
1811,児童,"児童
じどう

children
child
juvenile
"
1812,有効,"有効
ゆうこう

validity
legality
availability
effectiveness
"
1813,行事,"行事
ぎょうじ

event
function
"
1814,発展,"発展
はってん

development
growth
advancement
unfurling
expansion
extension
enlargement
playing around
having an active sex life
"
1815,周辺,"周辺
しゅうへん

circumference
outskirts
environs
around
in the area of
in the vicinity of
(computer) peripheral
"
1816,報道,"報道
ほうどう

information
report
journalism
news
to report
"
1817,下がる,"下がる
さがる

to come down
to go down
to fall
to drop
to sink
to get lower
to hang
to dangle
to move back
to step back
to withdraw
to retire
to deteriorate
to fall off
to be downgraded
to get closer to the present day
to go south
"
1818,成立,"成立
せいりつ

coming into existence
arrangements
establishment
conclusion
completion
to come into existence
to be true
to hold (i.e. hold true)
"
1819,禁止,"禁止
きんし

prohibition
inhibition
ban
"
1820,命令,"命令
めいれい

order
command
decree
directive
(software) instruction
statement
"
1821,高度,"高度
こうど

altitude
height
elevation
advanced
sophisticated
high-grade
strong
"
1822,一定,"一定
いってい
いちじょう

fixed
settled
constant
definite
uniform
regularized
regularised
defined
standardized
standardised
certain
prescribed
"
1823,方,"方
ほう

direction
way
side
area (in a particular direction)
side (of an argument, etc.)
one's part
type
category
field (of study, etc.)
indicates one side of a comparison
way
method
manner
means
length (of each side of a square)
"
1824,平均,"平均
へいきん
へいぎん

average
mean
balance
equilibrium
"
1825,地位,"地位
ちい

(social) position
status
"
1826,周囲,"周囲
しゅうい

surroundings
environs
circumference
"
1827,表面,"表面
ひょうめん

surface
face
outside
exterior
appearances
superficiality
"
1828,製品,"製品
せいひん

manufactured goods
finished goods
product
"
1829,詳しい,"詳しい
くわしい

detailed
full
accurate
knowing very well
well-acquainted
well-informed
"
1830,否定,"否定
ひてい

negation
denial
repudiation
disavowal
NOT operation
"
1831,維持,"維持
いじ

maintenance
preservation
improvement
"
1832,金額,"金額
きんがく

amount of money
"
1833,候補,"候補
こうほ

candidate
contender
prospect
pick
choice
list
candidacy
candidature
nomination
"
1834,障害,"障害
しょうがい

obstacle
impediment
hindrance
difficulty
barrier
handicap
impairment
disability
disorder
malfunction
"
1835,社会党,"社会党
しゃかいとう

Socialist Party
"
1836,夫,"夫


husband  フ  フウ  おっと
"
1837,絵,"絵


picture  カイ  エ  
"
1838,もう,"もう
もう

now
soon
shortly
before long
presently
already
yet
by now
(not) anymore
further
more
again
another
the other
interjection used to strengthen expression of an emotion (often exasperation)
"
1839,帰る,"帰る
かえる

to return
to come home
to go home
to go back
to leave
to get home
to get to home plate
"
1840,言葉,"言葉
ことば
けとば

language
dialect
word
words
phrase
term
expression
remark
speech
(manner of) speaking
"
1841,笑う,"笑う
わらう

to laugh
to smile
to sneer
to ridicule
to be dumbfounded
to be flabbergasted
"
1842,こちら,"こちら
こちら

this way (direction close to the speaker or towards the speaker)
this direction
here (place close to the speaker or where the speaker is)
this one (something physically close to the speaker)
I
me
we
us
this person (someone physically close to the speaker and of equal or higher status)
"
1843,とても,"とても
とても

very
awfully
exceedingly
(not) at all
by no means
simply (cannot)
"
1844,たくさん,"たくさん
たくさん

a lot
lots
plenty
many
a large number
much
a great deal
a good deal
enough
sufficient
enough
too many
too much
"
1845,もらう,"もらう
もらう

to receive
to take
to accept
to get somebody to do something
"
1846,だめ,"だめ
だめ

no good
not serving its purpose
useless
broken
hopeless
wasted
in vain
purposeless
cannot
must not
not allowed
neutral point (in go)
intersection owned by neither player at the end of a game
"
1847,いっしょ,"いっしょ
いっしょ

together
at the same time
same
identical
"
1848,ふね,"ふね
ふね

ship
boat
watercraft
vessel
steamship
tank
tub
vat
trough
counter for boat-shaped containers (e.g. of sashimi)
"
1849,空港,"空港
くうこう

airport
"
1850,大して,"大して
たいして

(not so) much
(not) very
"
1851,したい,"したい
したい

want to do
"
1852,その後,"その後
そのあと
そのご
そののち

after that
afterwards
thereafter
"
1853,一緒,"一緒
いっしょ

together
at the same time
same
identical
"
1854,靴,"靴
くつ

shoes
boots
footwear
footgear
"
1855,後ろ,"後ろ
うしろ

back
behind
rear
"
1856,後ほど,"後ほど
のちほど

later on
eventually
afterwards
"
1857,まだ,"まだ
まだ

as yet
hitherto
only
still
not yet (with negative verb)
more
besides
unfinished
incomplete
not yet finished with
"
1858,びっくり,"びっくり
びっくり

to be surprised
to be amazed
to be frightened
to be astonished
to get startled
to jump
surprise (e.g. surprise party)
"
1859,あと,"あと
あと

behind
rear
after
later
after one's death
remainder
the rest
descendant
successor
heir
more (e.g. five more minutes)
left
also
in addition
past
previous
"
1860,いろいろ,"いろいろ
いろいろ

various
various colors (colours)
"
1861,どう,"どう
どう

how
in what way
how about
"
1862,ワクワク,"ワクワク
ワクワク

tremble
get nervous
excitedly
thrilled
"
1863,やすい,"やすい
やすい

cheap
inexpensive
calm
peaceful
quiet
"
1864,のち,"のち
のち

later
afterwards
since
future
after one's death
descendant
"
1865,わざわざ,"わざわざ
わざわざ

expressly
specially
doing something especially rather than incidentally
"
1866,わがまま,"わがまま
わがまま

selfishness
egoism
self-indulgence
wilfulness
willfulness
disobedience
whim
"
1867,あまり,"あまり
あまり

remainder
rest
balance
remains
scraps
residue
remnant
not very (with negative sentence)
not much
surplus
excess
fullness
too much
more than
over
"
1868,すでに,"すでに
すでに

already
too late
"
1869,キッカケ,"キッカケ
キッカケ

chance
start
cue
excuse
motive
impetus
occasion
"
1870,恥ずかしい,"恥ずかしい
はずかしい

shy
ashamed
embarrassed
disgraceful
shameful
"
1871,きっと,"きっと
きっと

surely
undoubtedly
almost certainly
most likely (e.g. 90 percent)
sternly
severely
having no slack
rigid
stiff
tight
suddenly
abruptly
instantly
"
1872,急,"急
きゅう

urgent
sudden
abrupt
sharp
steep
precipitous
rapid
swift
fast
emergency
crisis
hurrying
haste
(in gagaku or noh) end of a song
"
1873,そっち,"そっち
そっち

that way (direction distant from the speaker, close to the listener)
there (place distant from the speaker, close to the listener)
that one (something close to the listener)
you
your family
your company
that person (someone close to the listener)
"
1874,わざと,"わざと
わざと

on purpose
"
1875,なぜ,"なぜ
なぜ

why
how
"
1876,そば,"そば
そば

near
close
beside
vicinity
proximity
besides
while
third person
"
1877,ふと,"ふと
ふと

suddenly
casually
accidentally
incidentally
unexpectedly
unintentionally
"
1878,おなかが空く,"おなかが空く
おなかがすく

to become hungry
to get an empty stomach
"
1879,しんせつ,"しんせつ
しんせつ

kindness
gentleness
"
1880,さあっと,"さあっと
さあっと

relatively quickly (esp. actions)
quite suddenly (esp. wind, rain, etc.)
"
1881,おかしい,"おかしい
おかしい

funny
amusing
comical
laughable
ridiculous
strange
odd
funny
peculiar
weird
unusual
eccentric
improper
unsuitable
unbecoming
suspicious
"
1882,やっぱり,"やっぱり
やっぱり

too
also
likewise
either
still
as before
even so
either way
nonetheless
in any event
all the same
as expected
"
1883,しかたない,"しかたない
しかたない

it can't be helped
it's inevitable
it's no use
can't stand it
impatient
annoyed
"
1884,仕方ない,"仕方ない
しかたない

it can't be helped
it's inevitable
it's no use
can't stand it
impatient
annoyed
"
1885,ありふれた,"ありふれた
ありふれた

unsurprising
trite
commonplace
mundane
hackneyed
garden variety (of)
"
1886,普通,"普通
ふつう

general
ordinary
usual
normally
generally
usually
train that stops at every station
"
1887,つらい,"つらい
つらい

painful
bitter
heart-breaking
difficult (emotionally)
tough
difficult
hard (usu. of situations)
cruel
harsh
cold
"
1888,たまたま,"たまたま
たまたま

casually
unexpectedly
accidentally
by chance
"
1889,ちゃんと,"ちゃんと
ちゃんと

diligently
seriously
earnestly
reliably
steadily
legitimately
perfectly
properly
exactly
orderly
punctually
regularly
sufficiently
satisfactorily
quickly
"
1890,合う,"合う
あう
おう

to come together
to merge
to unite
to meet
to fit
to match
to suit
to agree with
to be correct
to be profitable
to be equitable
to do ... to each other
to do ... together
"
1891,気まずい,"気まずい
きまずい

unpleasant
awkward
embarrassing
uneasy
"
1892,ただ,"ただ
ただ

ordinary
common
usual
free of charge
unaffected
as is
safe
only
merely
just
simply
but
however
nevertheless
"
1893,きつい,"きつい
きつい

intense
severe
hard
determined
forceful
formidable
strong
tight
close
"
1894,今さら,"今さら
いまさら

now (after such a long time)
at this late hour (i.e. it is too late for something)
at this point of time
afresh
anew
again
"
1895,もはや,"もはや
もはや

already
now
no longer
not any more
"
1896,おんち,"おんち
おんち

tone-deafness
amusia
having no ear for music
tone-deaf
off-key
having no sense (of something)
being hopeless (when it comes to something)
"
1897,せっかく,"せっかく
せっかく

with trouble
at great pains
rare
valuable
precious
long-awaited
kind
specially
especially
expressly
"
1898,っていうか,"っていうか
っていうか

or rather (say)
or better (say)
or perhaps I should say
or, how should I put it,...
I mean
"
1899,めずらしい,"めずらしい
めずらしい

unusual
rare
curious
new
novel
fine (e.g. gift)
"
1900,なかなか,"なかなか
なかなか

very
considerably
easily
readily
fairly
quite
highly
rather
by no means (with negative verb)
not readily
middle
half-way point
excellent
wonderful
very good
"
1901,さっさ,"さっさ
さっさ

promptly
immediately
quickly
without delay
indifferently
"
1902,ほとんど,"ほとんど
ほとんど

mostly
nearly
practically
well-nigh
almost invariably
all but
just about
almost
"
1903,ほうがいい,"ほうがいい
ほうがいい

(after past tense verb) had better (verb)
(after negative verb) had better not (verb)
"
1904,など,"など
など

et cetera
etc.
and the like
and so forth
or something
the likes of
"
1905,ほんの,"ほんの
ほんの

mere
only
just
not even (with negative verb)
"
1906,それに,"それに
それに

besides
in addition
also
moreover
"
1907,ずっと,"ずっと
ずっと

continuously in some state (for a long time, distance)
throughout
all along
the whole time
all the way
much (better, etc.)
by far
far and away
far away
long ago
direct
straight
"
1908,誰一人,"誰一人
だれひとり

no one
nobody
"
1909,何のことはない,"何のことはない
なんのことはない

trivial
not amounting to much
not enough to cause a problem
not as much as expected
"
1910,わけがない,"わけがない
わけがない

there is no way that ... (expresses speaker's belief that something is impossible)
easy
simple
"
1911,周り,"周り
まわり

circumference
girth
surroundings
neighbourhood
neighborhood
vicinity
"
1912,なのに,"なのに
なのに

and yet
despite this
but even so
but even then
however
nevertheless
for all that
notwithstanding that
"
1913,怪異,"怪異
かいい

strangeness
mystery
ghost
monster
apparition
phantom
spectre
specter
goblin
"
1914,かくして,"かくして
かくして

thus
"
1915,うち,"うち
うち

inside
within
while
among
amongst
between
we (referring to one's in-group, i.e. company, etc.)
our
my spouse
imperial palace grounds
emperor
I (primarily used by women and children)
me
"
1916,ぶつかる,"ぶつかる
ぶつかる

to strike against
to collide with
to bump into
to conflict
to encounter
to meet
to clash
"
1917,どうでもいい,"どうでもいい
どうでもいい

inconsequential
indifferent
not worth worrying about
whatever you do is OK
trivial
"
1918,まず,"まず
まず

first (of all)
to start with
about
almost
anyway
well
now
hardly (with neg. verb)
"
1919,もしかして,"もしかして
もしかして

perhaps
possibly
"
1920,さっき,"さっき
さっき

some time ago
just now
"
1921,それとも,"それとも
それとも

or
or else
"
1922,嘘,"嘘


lie  うそ a lie
"
